,time,solar_effect,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,occupancy_effect
0,2024-12-10 00:00:00+00:00,6.4572231445722,21.2875,-1.3,21.0,25.0,0.0
1,2024-12-10 00:01:00+00:00,6.4572231445722,21.3,-1.3,21.0,25.0,0.0
2,2024-12-10 00:02:00+00:00,6.4572231445722,21.31,-1.3,21.0,25.0,0.0
3,2024-12-10 00:03:00+00:00,6.4572231445722,21.318181818181817,-1.3,21.0,25.0,0.0
4,2024-12-10 00:04:00+00:00,6.4572231445722,21.325,-1.3,21.0,25.0,0.0
5,2024-12-10 00:05:00+00:00,6.4572231445722,21.33076923076923,-1.3,21.0,25.0,0.0
6,2024-12-10 00:06:00+00:00,6.4572231445722,21.335714285714285,-1.3,21.0,25.0,0.0
7,2024-12-10 00:07:00+00:00,6.4572231445722,21.34,-1.3,21.0,25.0,0.0
8,2024-12-10 00:08:00+00:00,6.4572231445722,21.34,-1.3,21.0,25.0,0.0
9,2024-12-10 00:09:00+00:00,6.4572231445722,21.346666666666668,-1.3,21.0,25.0,0.0
10,2024-12-10 00:10:00+00:00,6.4572231445722,21.35333333333333,-1.3,21.0,25.0,0.0
11,2024-12-10 00:11:00+00:00,6.4572231445722,21.36,-1.3,21.0,25.0,0.0
12,2024-12-10 00:12:00+00:00,6.4572231445722,21.37333333333333,-1.3,21.0,25.0,0.0
13,2024-12-10 00:13:00+00:00,6.4572231445722,21.366666666666664,-1.3,21.0,25.0,0.0
14,2024-12-10 00:14:00+00:00,6.4572231445722,21.35333333333333,-1.3,21.0,25.0,0.0
15,2024-12-10 00:15:00+00:00,6.4572231445722,21.346666666666668,-1.3,21.0,25.0,0.0
16,2024-12-10 00:16:00+00:00,6.4572231445722,21.346666666666668,-1.3,21.0,25.0,0.0
17,2024-12-10 00:17:00+00:00,6.4572231445722,21.33333333333333,-1.3,21.0,25.0,0.0
18,2024-12-10 00:19:00+00:00,6.4572231445722,21.33333333333333,-1.3,21.0,25.0,0.0
19,2024-12-10 00:20:00+00:00,6.4572231445722,21.32,-1.3,21.0,25.0,0.0
